filename,url,query
00000.jpg,https://tse4.mm.bing.net/th/id/OIP.4TFFaQrRdxbl7CROROYACQHaE3?w=183&h=180&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00001.jpg,https://tse3.mm.bing.net/th/id/OIP.3KbZNVRPZYNDovYN8-OUdAHaE7?w=221&h=180&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00002.jpg,https://tse2.mm.bing.net/th/id/OIP.tVq3va6ki7civWf0ZT3t9wHaDv?w=285&h=176&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00003.jpg,https://tse4.mm.bing.net/th/id/OIP.fbB2kUPSVR5Z82dVnSj3TQHaFc?w=201&h=180&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00004.jpg,https://tse4.mm.bing.net/th/id/OIP.t6HqT2WMxWZnWEh0uZnxFQHaFj?w=239&h=180&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00005.jpg,https://tse4.mm.bing.net/th/id/OIP.Fwh9541R2YcQ2x8VfvDXOAHaE8?w=268&h=180&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00006.jpg,https://tse4.mm.bing.net/th/id/OIP.trbqioIV1xlAsw6GZrwswgHaE0?w=276&h=180&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00007.jpg,https://tse2.mm.bing.net/th/id/OIP.c9e7_T9n8XENsXDO9QwIvQHaEm?w=310&h=193&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00008.jpg,https://tse1.mm.bing.net/th/id/OIP.QH7VNp4duZxFdvlBkGDW2gHaEo?w=309&h=193&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00009.jpg,https://tse3.mm.bing.net/th/id/OIP.LVMyHydBcuVwvaHYt6ypiQHaF6?w=241&h=193&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00010.jpg,https://tse2.mm.bing.net/th/id/OIP.PbmNdF9L1cHOC1kEJBL-fgHaFa?w=248&h=181&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00011.jpg,https://tse4.mm.bing.net/th/id/OIP.h3hNCuKLAm1QxGBN-BP9qwHaE8?w=271&h=181&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00012.jpg,https://tse2.mm.bing.net/th/id/OIP.xl8pJgkRr7BhNsFLpyPnZwHaJ4?w=135&h=181&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00013.jpg,https://tse4.mm.bing.net/th/id/OIP.fAcTpcxpgYL1_8IHBWohhwHaE8?w=247&h=180&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00014.jpg,https://tse1.mm.bing.net/th/id/OIP.km5L2Rid9Z6czWxFSf0FHwHaEK?w=294&h=180&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00015.jpg,https://tse1.mm.bing.net/th/id/OIP.xSVzchMZM9pxOM1Qrl5YKwHaFj?w=220&h=180&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00016.jpg,https://tse3.mm.bing.net/th/id/OIP.bEDNEPz-Z7e2DJSwjwEzogHaFj?w=219&h=180&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00017.jpg,https://tse4.mm.bing.net/th/id/OIP.rwpS9-IYqisGusGcNJUL8AHaE9?w=213&h=180&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00018.jpg,https://tse4.mm.bing.net/th/id/OIP.ZJamTAOGJs8d70o4c60wBQHaE6?w=215&h=180&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00019.jpg,https://tse1.mm.bing.net/th/id/OIP.UbbhKBGe23HtDv6QTLukrwHaEK?w=255&h=180&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
00020.jpg,https://tse3.mm.bing.net/th/id/OIP.TT5I_AfOjKzx5ibLZZEKNAHaLh?w=128&h=199&c=7&r=0&o=5&pid=1.7,Mysore Ganjifa Art Karnataka
